Response,Accuracy,Reaction Time,Congruency,Neutral Accuracy,Congruent Accuracy,Incongruent Accuracy,Neutral Mean RT,Congruent Mean RT,Incongruent Mean RT
1,1,0.545236825942993,neutral,0.9,1,0.75,0.419577014446259,0.385798704624176,0.447807371616364
0,1,0.443699836730957,neutral,,,,,,
1,1,0.413075923919678,incongruent,,,,,,
1,1,0.380916118621826,congruent,,,,,,
1,1,0.398624897003174,congruent,,,,,,
1,1,0.342360019683838,congruent,,,,,,
0,1,0.604893207550049,incongruent,,,,,,
0,1,0.501687049865723,congruent,,,,,,
1,0,0.378983974456787,neutral,,,,,,
1,1,0.519902944564819,neutral,,,,,,
1,1,0.351122856140137,congruent,,,,,,
0,1,0.31383204460144,congruent,,,,,,
0,0,0.83760404586792,incongruent,,,,,,
1,1,0.679042816162109,congruent,,,,,,
0,1,0.450834989547729,congruent,,,,,,
1,1,0.383569002151489,neutral,,,,,,
0,1,0.32610011100769,congruent,,,,,,
1,1,0.447113990783691,incongruent,,,,,,
1,1,0.399908065795898,neutral,,,,,,
0,1,0.398222923278809,congruent,,,,,,
1,1,0.477435111999512,incongruent,,,,,,
1,1,0.406098127365112,congruent,,,,,,
0,1,0.390995979309082,incongruent,,,,,,
0,1,0.425650119781494,congruent,,,,,,
0,1,0.384685039520264,neutral,,,,,,
1,0,0.367723941802979,neutral,,,,,,
1,1,0.507186889648438,neutral,,,,,,
0,1,0.370471000671387,congruent,,,,,,
1,1,0.373562097549438,congruent,,,,,,
0,0,0.277094125747681,incongruent,,,,,,
1,1,0.332495927810669,incongruent,,,,,,
1,1,0.280104875564575,congruent,,,,,,
1,0,0.284922122955322,incongruent,,,,,,
1,1,0.328804969787598,congruent,,,,,,
1,0,0.318229913711548,incongruent,,,,,,
0,1,0.382854223251343,congruent,,,,,,
1,1,0.405329942703247,incongruent,,,,,,
0,1,0.347931861877441,neutral,,,,,,
1,1,0.340913057327271,neutral,,,,,,
0,1,0.330583810806274,congruent,,,,,,
0,1,0.449941158294678,neutral,,,,,,
1,1,0.392595052719116,neutral,,,,,,
1,1,0.493534088134766,incongruent,,,,,,
0,1,0.47269082069397,incongruent,,,,,,
0,1,0.400161981582642,neutral,,,,,,
0,1,0.580159187316895,incongruent,,,,,,
1,0,0.42828893661499,incongruent,,,,,,
0,1,0.402260065078735,incongruent,,,,,,
1,1,0.375491857528687,neutral,,,,,,
0,1,0.470937013626099,incongruent,,,,,,
1,1,0.418566226959229,incongruent,,,,,,
1,1,0.381042957305908,neutral,,,,,,
1,1,0.315781116485596,congruent,,,,,,
0,1,0.438556909561157,incongruent,,,,,,
1,1,0.461963891983032,incongruent,,,,,,
0,1,0.38081693649292,neutral,,,,,,
0,1,0.394121885299683,neutral,,,,,,
0,1,0.398828029632568,neutral,,,,,,
1,1,0.598798990249634,neutral,,,,,,
0,1,0.359319925308228,congruent,,,,,,
